menu_start_game_0|Welcome to Viking Conquest.
mno_leave_faction_hold|Wypowiedz przysięge wierności i władaj na swych ziemiach wraz {s2} samodzielnie .
mno_leave_faction_cancel|Pozostań lojalny i zaakceptuj decyzję.
menu_give_center_to_player|Twój senior oferuje ci lenno! {s1} pragnie nadać ci {s2} jako nagrodę za twoją lojalną służbę, dodając ją do twych włości. Jaka jest twoja odpowiedź?
mno_give_center_to_player_accept|Zaakceptuj ofertę.
mno_give_center_to_player_reject|Odrzuć ofertę. Nie jesteś zainteresowany włościami {s2}.
menu_give_center_to_player_2|Po krótkiej ceremonii, zostałeś oficjalnie nowym panem {s2}{reg3? i przylegających wioskek {s4}:}. {reg3?One:stały} się częścią twoich włości. Możesz teraz pobierać daninę z majątków ziemskich , werbować żołnierzy spośród mieszkańców, oraz zarządzać swymi ziemiami wedle uznania. Twoim obowiązkiem jest obrona swych włości oraz jego mieszkańców, oraz utrzymywania prawa i porządku .
menu_oath_fulfilled|Podpisałeś umowę z {s1} na mocy której będziesz mu służyć pewien czas. Ta umowa właśnie wygasła. Co chcesz zrobić?
mno_renew_oath|Podpisz umowę z {s1} na następny miesiąc.
mno_dont_renew_oath|Nie podpisuj umowy i odejdź wolno.
menu_siege_started_defender|{s1} przypuszcza atak na mury {s2}. Stosunek liczebności twojego oddziału do oddziału przeciwnika wynosi {reg10} do {reg11}. Decydujesz się...
mno_siege_defender_join_battle|Dołącz do bitwy.
mno_siege_defender_troops_join_battle|Rozkaż swoim ludziom by dołączyli do bitwy bez ciebie .
menu_siege_join_defense|{s4}^^Twoje straty: {s8}^^Straty sojuszników: {s9}^^Straty nieprzyjaciela: {s10}
menu_enter_your_own_castle|{s10}
menu_village|{s10} {s12}^{s11}^{s6}{s7}^^{s15}
mno_village_manage|Zarządzaj wioską.
mno_recruit_volunteers|Werbuj ochotników.
mno_village_center|Przejdź do centrum wioski.
mno_village_center_door|Drzwi do centrum wioski.
mno_village_buy_food|Kup zapasy od chłopów.
mno_comprar_cattle|Chcesz kupić trochę bydła.
mno_village_attack_bandits|Zaatakuj bandytów.
mno_village_wait|Zaczekaj jakiś czas.
mno_collect_taxes_qst|{reg5?Kontynuuj zbieranie podatków:Zbierz podatki}.
mno_train_peasants_against_bandits_qst|Wyszkól chłopów.
mno_village_hostile_action|Podejmij wrogie działania.
mno_village_leave|Odejdź...
menu_village_hostile_action|Jakie działanie masz na myśli?
mno_village_take_food|Zmuś chłopów do wydania ci zapasów.
mno_village_steal_cattle|Ukradnij bydło.
mno_enslave_villagers|Weź do niewoli mieszkańców wioski.
mno_village_loot|Splądruj i spal wioskę.
menu_recruit_volunteers|{s18}
mno_continue_not_enough_gold|Nie masz wystarczającej ilości pieniędzy...
mno_recruit_them|Zwerbuj jednosteki za ({reg6} peningów).
menu_village_hunt_down_fugitive_defeated|Silne uderzenie powala cię na ziemię, a twóch wzrok spowijają ciemności.Po jakimś czasie otwierasz oczy i odkrywasz krew na swoim ciele, na szczęście żadna z otrzymanych ran nie jest poważna.
menu_village_infest_bandits_result|{s9}
menu_village_infestation_removed|Wraz ze swoimi ludźmi, w bitwie godnej opisania w pieśni, przeganiasz bandytów z wioski która znów staje się bezpieczna. Osadnikom niewiele zostało po ciężkich przejściach , ale są gotowi oddać wszystko co znajdą.
mno_village_bandits_defeated_accept|Podziękuj i odbierz nagrodę.
mno_village_bandits_defeated_cont|Odmów, mówiąc że potrzebują tych zapasów bardziej niz ty.
menu_center_manage|{s19}^{reg6?^^{s7} jest obecnie w trakcie budowy, która zostanie zakończona po {reg8} dniach {reg9?s:}.:}
mno_center_build_manor|Zbuduj dworek.
mno_center_build_fish_pond|Zbuduj młyn.
mno_center_build_watch_tower|Zbuduj wieżę strażniczą.
mno_center_build_school|Zbuduj szkołę.
mno_center_build_messenger_post|Zbuduj posterunek posłańców.
mno_center_build_prisoner_tower|Zbuduj więźenie.
mno_center_build_religion1|Zbuduj chrześcijański klasztor (współczynnik konwersacji).
mno_center_build_religion2|Zbuduj świątynie Odyna (współczynnik konwersacji).
mno_center_build_religion3|Zbuduj chrześcijański (współczynnik konwersacji).
mno_center_build_religion4|Zbuduj sanktuarium nordyckich bogów (współczynnik konwersacji).
mno_center_build_herreria|Zbuduj kuźnię.
mno_center_build_guilds|Zbuduj dom wypoczynkowy dla kupców.
mno_center_build_library|Zbuduj skryptorium.
mno_center_build_slavemarket|Build a slave market.
mno_center_build_brewery|Build a brewery.
menu_center_improve|{s19} Jako członek drużyny o najwyższych umiejętnościach inżynieryjnych ({reg2}) {reg3?oceniasz:{s3} ocenia}, że potrzeba {reg5} peningów oraz {reg6} dni, aby wybudować {s4}.
mno_improve_cont|Kontynuuj.
mno_improve_not_enough_gold|Nie masz wystarczającej ilości pieniędzy.
menu_town_bandits_failed|{s4} {s5}
menu_town_bandits_succeeded|Bandyci padają przed tobą jak zboże pod kosą! Po chwili zostajesz samotnie na ulicy, podczas gdy większość napastników leży nieprzytomna, martwa lub umierająca. Po przeszukaniu ciał odnajdujesz sakiewkę, która musiała należeć do poprzedniej ofiary tych brutali. A może dał im ją ktoś, kto zaplanował szybkie zakończenie twojego życia?
menu_village_steal_cattle_confirm|Jako członek drużyny o najwyższych umiejętnościach plądrowania, ({reg2}), {reg3?oceniasz:{s1}ocenia}, że zdołasz ukraść {reg4} szt. bydła z tej wioski.
mno_village_steal_cattle_confirm|Kontynuuj.
menu_village_steal_cattle|{s1}
menu_village_take_food_confirm|Trudno będzie zmusić chłopów do przekazania swoich cennych zapasów. Uznajesz, że będziesz potrzebował przynajmniej godziny.
mno_village_take_food_confirm|Ruszaj.
menu_village_take_food|Wieśniacy niechętnie oddają ci swoje dobra.
mno_take_supplies|Zabierz zapasy.
mno_let_them_keep_it_2|Pozwól im je zatrzymać.
menu_village_start_attack|Część zdenerwowanych osadników chwyta za narzędzia i wygląda na to, że czeka cię walka, jeśli dalej będziesz im grozić.
mno_village_raid_attack|Zaatakuj ich.
mno_village_raid_leave|Zostaw wioskę w spokoju.
menu_village_raid_villagers_toslaves|Czy chcesz zapolować na osadników i uczynić z nich niewolników?
mno_villagers_slaves|Weź wszystkich  osadników do niewoli.
menu_village_loot_no_resist|Osadników jest niewielu i są wystraszeni, szybko więc rozbiegają się i uciekają. Wioska jest zdana na twoją łaskę.
mno_village_enslave|Enslave the villagers.
mno_take_supplies1|Take the supplies.
menu_village_loot_complete|Na twój rozkaz żołnierze plądrują wioskę, zagarniając wszystko, co ma jakąkolwiek wartość, a następnie podpalają chaty. Ze znalezionych monet i kosztowności odbierasz swój udział w wysokości {reg1} peningów.
menu_village_loot_defeat|Walcząc z odwagą i determinacją, wieśniacy utrzymują się i odpierają atak twoich żołnierzy.
menu_village_loot_continue|Czy chcesz dalej plądrować tą wioskę?
mno_lootvillage_yes|Tak.
mno_lootvillage_no|Nie.
menu_close|Nic.
menu_town|{s10} {s14}^{s11}{s12}{s13}
mno_castle_castle|Idź do wielkiej sali{s1}.
mno_castle_castle_door|Drzwi do zamku.
mno_join_tournament|Dołącz do turnieju.
mno_town_castle|Idź do zamku{s1}.
mno_town_castle_door|Drzwi do zamku.
mno_town_center|Przespaceruj się po ulicach.
mno_town_center_door|Drzwi do centrum miasta.
mno_town_tavern|Odwiedź karczmę.
mno_town_tavern_door|Drzwi do karczmy.
mno_town_merchant|Porozmawiaj z kupcem.
mno_town_merchant_door|Drzwi do sklepu.
mno_town_arena|Wejdź na arenę.
mno_town_arena_door|Drzwi na arenę.
mno_town_dungeon|Nigdy nie wchodź do więźenia.
mno_town_dungeon_door|Drzwi do lochu.
mno_castle_inspect|Przespaceruj się po dziedzińcu.
mno_castle_inspect_door|Idź na dziedziniec zamkowy.
mno_town_enterprise|Odwiedź {s3}.
mno_town_enterprise_door|Drzwi do Twojego zakładu.
mno_visit_lady|Spróbuj odwiedzić wybrankę.
mno_visit_lady_door|Drzwi do ogrodu.
mno_trade_with_merchants|Idź na rynek.
mno_travel|Travel to another Port.
mno_travel_door|Outfit your party.
mno_walled_center_manage|Zarządzaj  {reg0?miastem:zamkiem}.
mno_walled_center_move_court|Przenieś tutaj swój dwór.
mno_castle_station_troops|Zorganizuj tutaj garnizonem {s10}
mno_castle_wait|Zaczekaj przez jakiś czas{s1}.
mno_castle_wait_door|Nocleg.
mno_town_alley|Ask for potential recruits.
mno_town_visit_port|Odwiedź port.
mno_banquete_mead|Moi ludzie zasługują na ucztę w {reg0?mieście:zamku}. Kup miód, piwo i żywność.
mno_banquete_mead_door|Ucztuj ze swoimi ludźmi.
mno_set_sail|Zawiń do portu.
mno_set_sail_door|Wypoczywaj w porcie.
mno_town_leave|Odejdź...
mno_town_leave_door|Opuść obszar.
mno_sail_from_port|Zawiń do portu.
menu_cannot_enter_court|W posiadłości lorda trwa wielka uczta, niestety, nie posiadasz odpowiedniego statusu, by wziąść w niej udział. Może zwiększenie twojej renomy pozwoliłoby dostać się do środka. Możesz również spróbować swoich sił w turnieju, zwycięstwo zapewni ci względy lorda...
menu_lady_visit|Kogo chcesz odwiedzić?
mno_visit_lady_1|Odwiedź: {s12}
mno_visit_lady_2|Odwiedź: {s12}
mno_visit_lady_3|Odwiedź: {s12}
mno_visit_lady_3_door|Drzwi do ogrodu.
mno_visit_lady_4|Odwiedź: {s12}
mno_visit_lady_5|Odwiedź: {s12}
mno_visit_lady_6|Odwiedź: {s12}
mno_visit_lady_7|Odwiedź: {s12}
mno_visit_lady_8|Odwiedź: {s12}
menu_town_tournament_lost|Zostajesz wyeliminowan{y/a} z turnieju.{s8}
menu_town_tournament_won|Wygrywasz turniej w miejscowości {s3}! Przepełnia cię duma, a tłum skanduje twoje imię. Oprócz honoru i sławy zdobywasz również nagrodę w wysokości {reg9} peningów. {s8}
menu_town_tournament_won_by_another|Jako {reg3?jedyny wojownik:jedyny uczestnik} bez porażki tego dnia, {s1} wygrywa turniej i zdobywa chwałę.
menu_town_tournament|{s1}Obecnie jesteś w {reg0} fazie turnieju, w którym pozostało {reg1} uczestników. W następnej rundzie liczba drużyn wyniesie: {reg2} Każda składać się będzie z {reg3} {reg4?walczących:walczącego}
mno_tournament_view_participants|Zobacz uczestników.
mno_tournament_bet|Postaw na siebie.
mno_tournament_join_next_fight|Walcz w następnej rundzie.
mno_leave_tournament|Wycofaj się z turnieju.
menu_tournament_withdraw_verify|Czy na pewno chcesz wycofać się z turnieju?
mno_tournament_withdraw_yes|Tak, to bezsensowny pokaz siły.
mno_tournament_withdraw_no|Nie, póki mam szansę na zwycięstwo, będę brać w nim udział.
menu_tournament_bet|Suma zakładów postawionych na ciebie wynosi {reg5} do {reg6}.{reg1? {reg3?Postawiłaś:Postawiłeś} już na siebie {reg1} peningów. Jeśli wygrasz, zdobędziesz {reg2} peningów.:} Ile chcesz postawić?
mno_bet_100_denars|100 peningów.
mno_bet_50_denars|50 peningów.
mno_bet_20_denars|20 peningów.
mno_bet_10_denars|10 peningów.
mno_bet_5_denars|5 peningów.
menu_tournament_bet_confirm|Jeśli postawisz {reg1} peningów, zarobisz {reg2} peningów po wygraniu turnieju. Odpowiada ci to?
mno_tournament_bet_accept|Postaw na siebie.
mno_tournament_bet_cancel|Zrezygnuj.
menu_tournament_participants|Pytasz o imiona uczestników turnieju jednego z krzyczących. Są to:^{s11}
menu_collect_taxes|Jako członek drużyny o najwyższych umiejętnościach handlowych ({reg2}), {reg3?oceniasz:{s1} ocenia} że zebranie podatków z tego miejsca zajmie {reg4} dni...
mno_start_collecting|Zacznij zbieranie.
mno_collect_later|Odłóż to na później.
menu_collect_taxes_complete|Udało ci się zebrać {reg3} peningów z podatków w {s3}. {s19} oczekuje, że przekażesz mu te pieniadze.
menu_collect_taxes_rebels_killed|Twoje szybkie działania i silna ręka sprawiają, że tłumisz rewoltę. Po tym wydarzeniu z całą pewnością każdy, kto myślał o buncie, zastanowi się dwukrotnie.
menu_collect_taxes_failed|Zanim wybuchła rewolta udało ci się zebrać tylko {reg3} peningów z podatków w miejscowości {s3}. {s1} nie będzie zadowolony, ale lepsze to niż nic...
menu_monasterio_saqueado|Krew mnichów wsiąka w ziemię, a ich ciała stały się strawą dla kruków. Łatwe zwycięstwo i godziwy łup... ale jednocześnie nowi wrogowie wśród chrześcijan.
menu_collect_taxes_revolt_warning|Ludzie z miejscowości {s3} reagują z wściekłością na twoje żądania i uznają je jako zwykłe zdzierstwo. Stają się bardzo niespokojni i mogą popaść w furię, jeśli będziesz dalej naciskać.
mno_continue_collecting_taxes|Zignoruj ich i kontynuuj.
mno_halve_taxes|Zmniejsz kwotę o połowę. ({s1} może być niezadowolony)
menu_collect_taxes_revolt|Zbieranie podatków w miejscowości {s3} zostaje przerwane . Duża banda rozjuszonych {reg9?chłopów:mieszczan} pojawia się w pobliżu, wykrzykując obelgi na temat nieludzkich podatków, wymachując pochodniami i bronią. Wygląda na to, że chcą z tobą walczyć!
menu_train_peasants_against_bandits|Jako członek drużyny o najwyższych umiejętnościach szkolenia, ({reg2}), {reg3?oceniasz:{s1} ocenia} że zebranie chłopów gotowych do nauki potrwa {reg4} godzin.
mno_make_preparation|Wyszkol ich.
mno_train_later|Odłóż to na później.
menu_train_peasants_against_bandits_ready||Przekazujesz chłopom podstawy walki, dyscypliny i posłuszeństwa. Uznajesz że {reg0} z nich {reg1?pojęło:pojął} istote szkolenia oraz że {reg1?jest gotowych:jest gotów} do ćwiczeń.
mno_peasant_start_practice|Rozpocznij ćwiczenia walki.
menu_train_peasants_against_bandits_training_result|{s0}
menu_train_peasants_against_bandits_attack|Kiedy przygotowujesz się do dalszej części szkolenia, podbiega do ciebie strażnik z wioski, bijąc na alarm. Bandyci pojawili się na horyzoncie i zmierzają w stronę wsi {s3}. Starszy błaga, byście zorganizowali nowo wyszkoloną bojówkę i stawili im czoła.
mno_peasants_against_bandits_attack_resist|Przygotuj się do walki!
menu_train_peasants_against_bandits_attack_result|{s9}
menu_train_peasants_against_bandits_success|Bandyci zostali rozbici! Ci, którzy przetrwali, uciekają gdzie pieprz rośnie, przerażeni skutecznością chłopów oraz ich {nowego mistrza/nowej mistrzyni}. Wieśniakom niewiele zostało po tych ciężkich przejściach, lecz w zamian dają ci to, co zdołali zgromadzić.
menu_loot_options|Bitwa się skończyła. Co chcesz zrobić z łupem?
mno_loot_0|Zarządź równe dzielnie łupów.
mno_loot_1|Zobaczyłupy jako pierwszy.
mno_loot_2|Zostaw wszystkie łupy swoim ludziom.
mno_loot_3|Zostaw łup i wykorzystaj ten czas, aby pochować zmarłych.
menu_landing_point_encounter|Chcesz zejść na ląd?
mno_disembark_no|Nie.
menu_landet_ships_encounter|Chcesz wejść na pokład?
mno_reembark_no|Nie.
menu_ferry_encounter|Kapitan promu przeprowadzi cię na drugą stronę za {reg7} peningów.
mno_back|Wróć.
menu_port_encounter|Napotykasz port {s2}. {s3}
mno_attack|Atakuj.
mno_merge|Połącz flotę.
menu_port_encounter_2|Napotykasz na port w {s2}. Nie jesteś mile widziany w tym mieście.^^{s7}
mno_coastal_assault|Zakotwicz statki i zaatakuj to miejsce.
menu_after_sea_raid|Wraz ze swoimi ludźmi wywalczyłeś godziwy łup po czym powróciliście na swe okręty i opuściliście to miejsce.You and your man fight, gather plunder and quickly get back in the ships to leave the place. W zebranym srebrze i innych kosztownościach masz swój udział o wartości: {reg1} peningów.
menu_sea_raid_defeat|Obrońcom udało się was odeprzeć i zmusić do powrotu na okręty.
menu_port_new|Witaj w porcie w  {s1}. Idąc ulicami miasta portowego czujesz powiew morskiego powietrza,oraz zapach przypraw z dalekich krajów. Słyszysz zawodzenie mew i głosy żeglarzy rozmawiających w nieznanych ci językach, czujesz się tak jak byś przeniósł się do innego świata...
mno_town_port_new|Visit the town port.
mno_buy_a_ship|Kup lub sprzedaj okręt.
mno_reset_town_ships|Oszustwo: Daj miastu nowe statki.
mno_spawn_enemy_ship|Oszustwo: Przywołaj piratów Dena do następnego miasta.
mno_go_to_town|Idź do miasta.
menu_camp_on_sea|Rzuciłeś kotwicę na morzu. Co chcesz zrobić?^^{s1}
mno_epic_sea_battle|B. Epicka bitwa morska!
mno_d_day1|C. Dzień-D! (200 okrętów)
mno_testdrive2|Mega bitwa morska... wybierz przeciwnika 0
mno_see_ships|Obejrzyj swoje okręty. (WIP)
menu_center_reports|Nazwa miasta: {s1}^Dochód: {reg1} peningów^Cło: {reg2} peningów^Zapasy żywności: na {reg3} dni
mno_to_price_and_productions|Pokaż ceny i produkty.
menu_price_and_production|Dobra produkowane tutaj:^(Uwagi: Podstawa/zmodyfikowana surowymi materiałami/zmodyfikowana materiałami przynoszącymi korzyści)^{s1}^^Cena fabryczna to:^{s2}
menu_town_trade|Udaj się w kierunku rynku.
mno_assess_prices|Oceń lokalne ceny.
mno_trophies|Sprzedaj swoje łupy.
mno_trade_with_arms_merchant|Handluj z handalrzem bronią.
mno_trade_with_armor_merchant|Handluj ze zbrojmistrzem.
mno_trade_with_horse_merchant|Handluj ze sprzedawcą koni.
mno_trade_with_goods_merchant|Handluj ze sprzedawcą róznych dóbr.
mno_back_to_town_menu|Wróć.
menu_trophy_premium|Te trofea są pożądanymi towarami. Wymień je na pieniądze i doświadczenie.
mno_premium_a|Wymień trofea bitewne.
mno_premium_b|Wymień trofea wojenne.
mno_premium_c|Wymień trofea epickie.
menu_town_trade_assessment_begin|Słyszysz głośne dyskusje na temat panujących cen.^Wytężasz słuch starając się dowiedzieć o najlepszych ofertach w okolicy.
menu_town_trade_assessment|Jako członek drużyny o najwyższych umiejętnościach handlu ({reg2}), {reg3?próbujesz ocenić:{s1} próbuje ocenić} którymi towarami najlepiej jest handlować. {s2}
menu_sneak_into_town_suceeded|W przebraniu ubogiego pielgrzyma, udaje ci się ominąć straże i wejść do miasta.
menu_sneak_into_town_caught|Kiedy próbujesz się przekraść, jeden ze strażników rozpoznaje cię i podnosi alarm! Musisz przedostać się przez bramę miasta, zanim będziesz mia{ł/ła} na głowie wszystkich strażników!
mno_sneak_caught_fight|Spróbuj uciec!
mno_sneak_caught_surrender|Poddaj się.
menu_sneak_into_town_caught_dispersed_guards|Wyprzedzasz strażników i zacierasz ślady, z łatwością gubiąc pogoń w labiryncie ulic.
menu_sneak_into_town_caught_ran_away|Udaje ci się wybiec przez bramę i ukryć w okolicznych terenach.{s11}
menu_enemy_offer_ransom_for_prisoner|{s2} oferuje {reg12} peningów za więźnia którym jest {s1}.
mno_ransom_accept|Przyjmij ofertę.
mno_ransom_reject|Odrzuć ofertę.
menu_training_ground|Zbliżasz się do miejsca, gdzie możesz ćwiczyć sztuki walki. Co chcesz teraz zrobić?
mno_camp_trainer|Porozmawiać z nauczycielem.
mno_camp_train_melee|Ćwiczyć walkę wręcz.
mno_camp_train_archery|Ćwiczyć umiejętności strzeleckie.
mno_camp_train_mounted|Ćwiczyć jazdę konną.
menu_training_ground_selection_details_melee_1|Z iloma przeciwnikami chcesz się zmierzyć?
mno_camp_train_melee_num_men_1|Z jednym.
mno_camp_train_melee_num_men_2|Z dwoma.
mno_camp_train_melee_num_men_3|Z trzema.
mno_camp_train_melee_num_men_4|Z czterema.
menu_training_ground_selection_details_melee_2|Wybierz swojego przeciwnika nr {reg1}:
mno_training_ground_selection_details_melee_random|Wybierz losowo.
menu_training_ground_selection_details_mounted|Jakim rodzajem broni chcesz ćwiczyć?
mno_camp_train_mounted_details_1|Bronią jednoręczną.
mno_camp_train_mounted_details_2|Bronią drzewcową.
mno_camp_train_mounted_details_3|Łukiem.
mno_camp_train_mounted_details_4|Bronią miotaną.
menu_training_ground_selection_details_ranged_1|Jakim rodzajem broni dystansowej chcesz ćwiczyć?
mno_camp_train_ranged_weapon_bow|Łukiem.
mno_camp_train_ranged_weapon_crossbow|Oszczepami.
mno_camp_train_ranged_weapon_thrown|Nożami do rzucania.
menu_training_ground_selection_details_ranged_2|Określ w jakiej odległości mają znajdować się cele?
mno_camp_train_ranged_details_1|10 jardów.
mno_camp_train_ranged_details_2|20 jardów.
mno_camp_train_ranged_details_3|30 jardów.
mno_camp_train_ranged_details_4|40 jardów.
mno_camp_train_ranged_details_5|50 jardów.
mno_camp_train_ranged_details_6|60 jardów.
mno_camp_train_ranged_details_7|70 jardów.
menu_training_ground_description|{s0}
menu_training_ground_training_result|{s7}{s2}
menu_marshal_selection_candidate_ask|{s15} wkrótce wybierze nowego marszałka dla {s23}. Część lordów wskazała ciebie, jako odpowiedniego kandydata.
mno_marshal_candidate_accept|Niech {s15} dowie się, że chcesz służyć jako marszałek.
mno_marshal_candidate_reject|Powiedz wszystkim że nie masz na to czasu.
menu_captivity_avoid_wilderness|Nagle cały świat wokół ciebie ciemnieje. Wiele godzin później odzyskujesz świadomość i znajdujesz się w tym samym miejscu, w którym cię powalono. Twoi wrogowie musieli uznać, że nie żyjesz i zostawili cię tutaj. Żadna z twoich ran nie była jednak śmiertelna i choć czujesz się okropnie, wciąż możesz chodzić. Wstajesz i rozpoczynasz poszukiwania innych ocalałych z twojej drużyny.
menu_captivity_start_wilderness|Stub
menu_captivity_start_wilderness_surrender|Stub
menu_captivity_start_wilderness_defeat|Your enemies take you prisoner.
menu_captivity_start_castle_surrender|Resztka
menu_captivity_start_castle_defeat|Resztka
menu_captivity_start_under_siege_defeat|Twoi wrogowie biorą cię do niewoli.
menu_captivity_wilderness_taken_prisoner|{s2}
mno_continue1|Kontynuuj...
menu_captivity_wilderness_check|Resztka
menu_captivity_end_wilderness_escape|Po wielu bolesnych dniach spędzonych w niewoli, trafiasz na okazję i uciekasz swoim prześladowcom!
menu_captivity_castle_taken_prisoner|Błyskawicznie otaczają cię straże i odbierają broń. Klnąc i ubliżając ci, wrzucają cię do lochu, gdzie musisz spędzić żałosne dni swojej niewoli.
menu_captivity_rescue_lord_taken_prisoner|Pozostajesz w ukryciu tak długo, jak to możliwe. Strażnicy wpadli w szał i biją cię wściekle przed wrzuceniem z powrotem do celi na Bóg wie jak długo...
menu_captivity_castle_check|Resztka
menu_captivity_end_exchanged_with_prisoner|Po wielu dniach spędzonych w niewoli, wychodzisz w końcu na wolność, kiedy twoi dręczyciele wymieniają cię na innego więźnia.
menu_captivity_end_propose_ransom|Spędzasz długie godziny w mrocznym, wilgotnym lochu. Nagle jeden z twoich dręczycieli przychodzi do twojej celi z propozycją uwolnienia w zamian za {reg5} peningów z twojego ukrytego skarbu. Decydujesz, by...
mno_captivity_end_ransom_accept|Przyjąć ofertę.
mno_captivity_end_ransom_deny|Odmówić mu, czekając na coś lepszego.
menu_captivity_castle_remain|Mijają kolejne dni w ciemnej celi. Starasz się je przetrwać, wytrzymując kopniaki i przekleństwa strażników oraz patrząc, jak słabnie twoje niedożywione ciało...
menu_kingdom_army_quest_report_to_army|{s8} przesyła wieści, oczekuje że {reg4?On:Ona} dołączy do nowej kampanii wojskowej. Musisz mieć co najmniej {reg13} żołnierzy w swojej armii, lub rozpocząć natychmiastowy werbunek, jeśli nie masz odpowiedniej liczby ludzi.
menu_kingdom_army_quest_messenger|{s8} przesyła wiadomość, że chce porozmawiać z tobą na temat pewnego zadania. Prosi o jak najszybsze przybycie i spotkanie z tobą.
menu_kingdom_army_quest_join_siege_order|{s8} przesyła wiadomość, że twoim zadaniem jest dołączyć do oblężenia {s9} i przygotować się do ataku. Twoi żołnierze muszą za wszelką cenę zająć {s9}.
menu_kingdom_army_follow_failed|Nie podążasz za oddziałem, którym dowodzi {s8}. Marszałek zakłada, że był{eą/aś} związan{y/a} inną umową, jednak byłby wdzięczny za wsparcie.
menu_invite_player_to_faction_without_center|Otrzymujesz ofertę wasalstwa!^^ {s8} władca ({s9}) wysłał posłańca, który przyniósł ci za zalakowaną wiadomość. Z treści wynika, iż {reg59?lady:lord} ma zostać wasalem {s9}, w zamian {s8} oczekuje że złożysz mu przysięge wierności i będziesz brać udział w jego kampaniach wojskowych. Nie oferuje jednak żadnych włości oraz tytułów. Z pewnością będzie urażony, jeśli nie przyjmiesz oferty...
mno_faction_accept|Zaakceptuj!
mno_faction_reject|Odrzuć zaproszenie.
menu_invite_player_to_faction|Otrzymujesz ofertę wasalstwa!^^ {s8} władca {s9} wysłał posłańca, który przyniósł ci za zalakowaną wiadomość. Z treści wynika, iż {reg59?lady:lord} ma zostać wasalem {s9}, w zamian {s8} oczekuje że złożysz mu przysięge wierności i będziesz brać udział w jego kampaniach wojskowych. Oferuje ci jako lenno {s2}. Z pewnością będzie urażony, jeśli nie przyjmiesz oferty...
menu_invite_player_to_faction_accepted|Aby zostać wasalem, musisz złożyć przysięgę wierności osobie o imieniu {s3}. Musisz ją odszukać i osobiście złożyć przysięgę. {s5}
menu_question_peace_offer|Otrzymujesz propozycję zawarcia pokoju^^The {s1} oferuje pakt pokojowy. Jak brzmi twoja odpowiedź?
mno_peace_offer_accept|Zaakceptuj
mno_peace_offer_reject|Odmów
menu_notification_truce_expired|Rozejm dobiegł końca^^Rozejm, który zawarli {s1} i {s2} dobiegł końca.
menu_notification_feast_quest_expired|{s10}
menu_notification_sortie_possible|Zauważono wroga tuż za murami {s4}. {s5} i inni szykują się do ataku. Jeśli chcesz, możesz do nich dołączyć.
menu_notification_casus_belli_expired|Królestwo nie odpowiada^^{s1} nie odpowiada na prowokacje, do których ucieka się {s2}, a {s3} traci wiele w oczach {reg4?jej:jego} bardziej wojowniczych poddanych...^
menu_notification_lord_defects|Zdrada: {s4} opuścił {s5} i dołączył do {s7}, zabierając ze sobą {reg4?jej:jego} swoje lenno 
menu_notification_treason_indictment|Oskarżenie o zdradę!^^{s9}
menu_notification_border_incident|Incydent graniczny!^^Otrzymujesz wieści, że w {s9} wydarzył się incydent. Mimo że nie wiesz, czy plotki są prawdziwe, zdajesz sobie sprawę z jednej rzeczy. {s4} przez to mało znaczące wydarzenie, gotuje się do walki, a obecnie dużo łatwiej będzie przekonać pozostałych lordów do wzięcia udziału w wojnie, w której wrogiem będzie {s3}...
menu_notification_player_faction_active|Posiadasz teraz ziemię nie będąc wasalem  żadnego królestwa. Stawia cię to w pozycji monarchy, a twoja tymczasowa stolica to {s12}. Ciesz się tą wolnością, lecz pamiętaj, że inni królowie Północy będą postrzegać cię jako zagrożenie, ponieważ teraz na pewno znajdzie się ktoś, kto zakwestionuje ich prawo do panowania.^^Na tym etapie możesz zechcieć związać się z którymś z istniejących królestw. Jeśli jednak chcesz pozostać {suwerennym monarchą/suwerenną monarszynią}, musisz zadbać o legitymizowane prawo do tronu. Możesz je uzyskać na kilka sposobów: wyjść za osobę wysokiego rodu, rekrutując nowych lordów, zarządzając swoimi ziemiami, paktując z innymi królami lub ekspediując swoich kompanów na różnego rodzaju misje. Cokolwiek wybierzesz, twoim pierwszym krokiem powinien być wybór pierwszego ministra, który zajmie się sprawami wewnętrznymi królestwa. Twoi towarzysze różnią się umiejętnościami.^Od czasu do czasu możesz mianować nowych ministrów. Rozmawiając z ministrem, możesz również zmienić lokalizację swojego dworu.
mno_appoint_spouse||Mianuj współmałżonkę/a, którym jest {s10}...
mno_appoint_npc1|Mianuj osobę o imieniu {s10}
mno_appoint_npc2|Mianuj osobę o imieniu {s10}
mno_appoint_npc3|Mianuj osobę o imieniu {s10}
mno_appoint_npc4|Mianuj osobę o imieniu {s10}
mno_appoint_npc5|Mianuj osobę o imieniu {s10}
mno_appoint_npc6|Mianuj osobę o imieniu {s10}
mno_appoint_npc7|Mianuj osobę o imieniu {s10}
mno_appoint_npc8|Mianuj osobę o imieniu {s10}
mno_appoint_npc9|Mianuj osobę o imieniu {s10}
mno_appoint_npc10|Mianuj osobę o imieniu {s10}
mno_appoint_npc11|Mianuj osobę o imieniu {s10}
mno_appoint_npc12|Mianuj osobę o imieniu {s10}
mno_appoint_npc13|Mianuj osobę o imieniu {s10}
mno_appoint_npc14|Mianuj osobę o imieniu {s10}
mno_appoint_npc15|Mianuj osobę o imieniu {s10}
